date,B00009RF1E,B000BBGS36,B000BCZ8JU,B001FDKGIW,B001GQ3GEY,B002FS4VJQ,B0084AWBRS,B079945DR1,average
2020-03-18,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9884081257890509,1.047392247286237
2020-03-19,0.8714596949891065,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9682084241937335,1.044921750817759
2020-03-20,0.8714596949891065,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9693561345116493,1.0450652146074986
2020-03-21,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9693561345116493,1.0450107483765616
2020-03-22,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9698152186388156,1.0450681338924575
2020-03-23,0.8710239651416118,1.30625,1.0,1.1099548399764383,1.1429796968830426,1.0704761904761906,1.0,0.9698152186388156,1.0588124888895123
2020-03-24,0.8710239651416118,1.30625,1.0,1.1099548399764383,1.1429796968830426,1.0704761904761906,1.0,0.9698152186388156,1.0588124888895123
2020-03-25,0.8710239651416118,1.30625,1.082133784928027,1.1099548399764383,1.1429796968830426,1.0704761904761906,1.0,0.9693561345116493,1.0690218264896199
2020-03-26,0.8710239651416118,1.30625,1.082133784928027,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0751742963236892
2020-03-27,0.8710239651416118,1.30625,1.0831922099915325,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0753065994566273
2020-03-28,0.8710239651416118,1.30625,1.0696443691786621,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0736131193550185
2020-03-29,0.8710239651416118,1.30625,0.9388230313293818,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0572604521238584
2020-03-30,0.8710239651416118,1.30625,0.9875105842506353,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0633463962390153
