date,B005GSYXJ0,B00D5YS4HE,B01BZ0M3ZI,B01GK94OQK,B01HSSVDT8,B01HSSXYVI,B01HSSZN2Q,B01HTBHMRG,average
2020-03-04,1.0,0.9375917767988253,0.9835423197492164,1.0074878322725573,1.2845786963434023,1.0,0.9211724530449631,1.3554301833568405,1.0612254076957255
2020-03-05,1.0,0.9375917767988253,0.9835423197492164,1.0074878322725573,1.286168521462639,1.0,0.9211724530449631,1.3540197461212975,1.0612478311811873
2020-03-06,1.0,0.9401615271659325,0.9835423197492164,1.0074878322725573,1.2877583465818758,1.0,0.9211724530449631,1.2933709449929478,1.0541866779759366
2020-03-07,1.018876018876019,0.9401615271659325,0.9835423197492164,1.0074878322725573,1.2655007949125596,1.0,0.9373932840068298,1.2933709449929478,1.0557915902470079
2020-03-08,1.1312741312741312,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.2639109697933228,1.0,0.944223107569721,1.2933709449929478,1.070817572898117
2020-03-09,1.1312741312741312,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.2639109697933228,1.0,0.944223107569721,1.3215796897038081,1.0743436659869745
2020-03-10,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.2639109697933228,1.0,0.944223107569721,1.3610719322990128,1.0628709299021086
2020-03-11,1.0656370656370655,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.1065182829888711,1.0,0.9129197495731359,1.3610719322990128,1.0474885575066122
2020-03-12,1.021021021021021,0.9375917767988253,0.9835423197492164,1.0074878322725573,1.1065182829888711,1.0,0.906659077973819,1.3794076163610718,1.0427784908956728
2020-03-13,1.0656370656370655,0.9427312775330396,0.9835423197492164,0.9400973418195433,1.2575516693163753,1.0,0.8947068867387593,1.3215796897038081,1.050730781312226
2020-03-14,1.1312741312741312,0.9375917767988253,0.9843260188087775,1.0084238113066268,1.2655007949125596,1.0,0.8895845190665909,1.3229901269393514,1.0674613973883578
2020-03-15,1.0,0.9375917767988253,0.9843260188087775,1.131879445900412,1.2774244833068362,1.0,0.8895845190665909,1.3229901269393514,1.0679745463525991
2020-03-16,1.1312741312741312,0.9427312775330396,0.9827586206896551,0.9625608386372146,1.190779014308426,1.0,0.9163346613545817,1.3638928067700988,1.0612914188208933
2020-03-17,1.0,0.9375917767988253,0.9843260188087775,0.9737925870460502,1.190779014308426,1.0,1.1832669322709162,1.3638928067700988,1.079206142000387
2020-03-18,1.0,0.9401615271659325,1.0,1.012822912766754,1.190779014308426,1.0,1.1832669322709162,1.3638928067700988,1.086365399160266
2020-03-19,1.0,0.9401615271659325,0.9835423197492164,1.012822912766754,1.4101748807631165,1.0,1.1832669322709162,1.375176304654443,1.1131431096712974
2020-03-20,1.1454311454311454,0.9427312775330396,0.9843260188087775,1.012822912766754,1.4101748807631165,1.0,1.1832669322709162,1.3794076163610718,1.1322700979918525
2020-03-21,1.1312741312741312,0.9427312775330396,1.0,1.012822912766754,1.4101748807631165,1.0,0.9391007398975526,1.3794076163610718,1.1019389448244583
2020-03-22,1.1454311454311454,0.9427312775330396,0.9843260188087775,1.012822912766754,1.4101748807631165,1.0,0.9391007398975526,1.3892806770098731,1.1029834565262824
2020-03-23,1.1312741312741312,1.101688693098385,1.0,1.012822912766754,1.3910969793322734,1.0,0.9871940808195787,1.3892806770098731,1.1266696842876245
2020-03-24,1.1312741312741312,1.101688693098385,0.9913793103448274,1.012822912766754,1.0,1.0,0.9871940808195787,1.0,1.0280448910379596
2020-03-25,1.1312741312741312,1.101688693098385,0.9913793103448274,1.012822912766754,1.0,1.0,0.9871940808195787,1.0,1.0280448910379596
2020-03-26,1.1312741312741312,1.101688693098385,0.9835423197492164,1.012822912766754,1.0,1.0,0.9871940808195787,1.0,1.027065267213508
2020-03-27,1.1312741312741312,0.9427312775330396,0.9827586206896551,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,1.002218837170307
2020-03-28,1.1312741312741312,0.9401615271659325,0.9827586206896551,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,1.0018976183744184
2020-03-29,1.07979407979408,0.9401615271659325,0.9827586206896551,0.9400973418195433,1.0,1.0,0.9871940808195787,1.0,0.9912507062860987
2020-03-30,1.07979407979408,0.9375917767988253,0.9843260188087775,0.9400973418195433,1.0,1.0,0.9871940808195787,1.0,0.9911254122551005
2020-03-31,1.07979407979408,0.9427312775330396,0.9843260188087775,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9959797555001908
2020-04-01,1.07979407979408,0.9393049437102301,0.9827586206896551,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9953555390074493
2020-04-02,1.07979407979408,0.9393049437102301,0.9843260188087775,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9955514637723395
2020-04-03,1.0,0.9427312775330396,0.9827586206896551,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9858095707610404
2020-04-04,1.0283140283140284,0.9393049437102301,1.0,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.991075704986236
2020-04-05,1.0283140283140284,0.9406754772393539,1.2523510971786835,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,1.0227909088247118
2020-04-06,1.0283140283140284,0.9393049437102301,0.9827586206896551,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9889205325724428
2020-04-07,1.0330330330330328,0.9393049437102301,0.9843260188087775,0.9737925870460502,1.0,1.0,0.9871940808195787,1.0,0.9897063329272087
2020-04-08,1.0,0.9401615271659325,0.9827586206896551,0.9850243354548862,1.0,1.0,0.9871940808195787,1.0,0.9868923205162565
