date,B005IRYMCW,B00GMOSUX2,B00UM41HGK,B00WW8YO6E,B00WW8YZKO,B00WW8Z026,B01LOSGSUM,B01MYYVGU7,B01N9GPLFS,B074DYLY5V,average
2020-04-29,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-30,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-01,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-02,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-03,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-04,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-05,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-06,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-07,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-08,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-09,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
