date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-03-20,0.6,0.8,0.3,0.5,0.0,,0.1,0.5555555555555556,0.6,0.4,0.3,0.0,0.7,0.2,0.5,0.3,0.1,0.6,0.3
2020-03-21,0.6,0.6,0.3,0.6,0.0,,0.1,0.5555555555555556,0.7,0.3,0.3,0.0,0.8,0.2,0.5,0.3,0.1,0.6,0.3
2020-03-22,0.6,0.6,0.3,0.5,0.1,,0.1,0.5555555555555556,0.7,0.3,0.3,0.0,0.8,0.2,0.5,0.4,0.1,0.7,0.3
2020-03-23,0.6,0.6,0.3,0.5,0.0,,0.2,0.4444444444444444,0.6,0.4,0.3,0.0,0.7,0.2,0.5,0.3,0.1,0.7,0.3
2020-03-24,0.6,0.6,0.3,0.4,0.0,,0.1,0.4444444444444444,0.7,0.4,0.4,0.0,0.7,0.2,0.6,0.3,0.1,0.7,0.3
2020-03-25,0.6,0.6,0.3,0.5,0.0,,0.1,0.4444444444444444,0.6,0.5,0.2,0.0,0.7,0.1,0.7,0.3,0.1,0.7,0.3
2020-03-26,0.6,0.6,0.2,0.5,0.0,,0.1,0.4444444444444444,0.6,0.4,0.3,0.0,0.7,0.1,0.7,0.3,0.1,0.7,0.3
2020-03-27,0.6,0.6,0.3,0.5,0.1,,0.2,0.4444444444444444,0.6,0.3,0.3,0.0,0.7,0.1,0.5,0.3,0.1,0.7,0.4
2020-03-28,0.6,0.6,0.3,0.5,0.0,,0.2,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.1,0.7,0.3,0.1,0.7,0.3
2020-03-29,0.6,0.6,0.4,0.5,0.1,,0.2,0.5555555555555556,0.6,0.3,0.2,0.0,0.7,0.1,0.7,0.3,0.1,0.6,0.3
2020-03-30,0.6,0.7,0.4,0.6,0.0,,0.2,0.6666666666666666,0.6,0.1,0.3,0.0,0.7,0.1,0.7,0.3,0.2,0.6,0.4
2020-03-31,0.6,0.6,0.3,0.4,0.0,,0.2,0.5555555555555556,0.6,0.1,0.3,0.0,0.7,0.1,0.7,0.5,0.2,0.6,0.3
2020-04-01,0.5,0.7,0.3,0.4,0.0,,0.1,0.5555555555555556,0.6,0.1,0.2,0.0,0.7,0.1,0.7,0.4,0.1,0.6,0.3
2020-04-02,0.6,0.6,0.3,0.5,0.0,,0.2,0.5555555555555556,0.7,0.2,0.2,0.0,0.7,0.1,0.8,0.4,0.1,0.6,0.3
2020-04-03,0.6,0.6,0.3,0.5,0.0,,0.1,0.5555555555555556,0.7,0.1,0.2,0.0,0.7,0.1,0.8,0.4,0.1,0.6,0.3
2020-04-04,0.6,0.6,0.3,0.5,0.0,,0.1,0.5555555555555556,0.7,0.1,0.3,0.0,0.7,0.2,0.8,0.4,0.2,0.6,0.3
2020-04-05,0.6,0.7,0.3,0.5,0.0,,0.1,0.5555555555555556,0.7,0.1,0.2,0.0,0.8,0.2,0.8,0.4,0.2,0.7,0.3
2020-04-06,0.6,0.6,0.4,0.5,0.0,,0.2,0.5555555555555556,0.6,0.3,0.3,0.0,0.8,0.3,0.8,0.5,0.2,0.6,0.3
2020-04-07,0.6,0.6,0.4,0.6,0.0,,0.2,0.5555555555555556,0.7,0.1,0.2,0.1,0.7,0.1,0.6,0.8,0.2,0.6,0.3
2020-04-08,0.6,0.7,0.4,0.6,0.0,,0.2,0.5555555555555556,0.7,0.1,0.2,0.0,0.7,0.2,0.6,0.9,0.1,0.6,0.3
2020-04-09,0.6,0.7,0.4,0.7,0.1,,0.2,0.5555555555555556,0.6,0.1,0.4,0.0,0.7,0.1,0.6,0.9,0.2,0.5,0.3
2020-04-10,0.6,0.7,0.4,0.6,0.1,,0.2,0.4444444444444444,0.6,0.2,0.3,0.0,0.7,0.1,0.6,0.9,0.1,0.5,0.3
2020-04-11,0.6,0.7,0.5,0.6,0.0,,0.2,0.4444444444444444,0.6,0.1,0.2,0.0,0.7,0.1,0.6,0.9,0.1,0.5,0.3
2020-04-12,0.6,0.7,0.4,0.5,0.0,,0.2,0.5555555555555556,0.6,0.1,0.2,0.0,0.7,0.2,0.6,0.9,0.1,0.5,0.3
2020-04-13,0.6,0.7,0.5,0.3,0.0,,0.2,0.5555555555555556,0.7,0.1,0.2,0.0,0.7,0.2,0.7,0.9,0.1,0.5,0.3
2020-04-14,0.6,0.7,0.5,0.4,0.0,,0.2,0.5555555555555556,0.7,0.1,0.2,0.0,0.7,0.1,0.6,0.9,0.1,0.5,0.3
2020-04-15,0.6,0.6,0.5,0.5,0.0,,0.2,0.5555555555555556,0.7,0.1,0.3,0.0,0.7,0.2,0.7,0.9,0.1,0.5,0.3
