date,B00074VZ9O,B00074VZAS,B0009YUFMK,B002DGE8Q6,B002VXF3WE,B003MR52LU,B003MROHZW,B004B3W4N8,B005W0O5JK,B00987HPFO
2012-01-26,21.99,22.36,20.11,,,,,,,
2012-01-27,21.99,22.36,20.11,,,,,,,
2012-01-28,21.99,22.36,20.11,,,,,,,
2012-01-29,21.99,22.36,20.11,,,,,,,
2012-01-30,21.99,22.36,20.11,,,,,,,
2012-01-31,21.99,22.36,20.11,,,,,,,
2012-02-01,21.99,22.36,20.11,,,,,,,
2012-02-02,21.99,22.36,20.11,,,,,,,
2012-02-03,21.99,22.36,20.11,,,,,,,
2012-02-04,21.99,22.36,20.11,,,,,,,
2012-02-05,21.99,22.36,20.11,,,,,,,
2012-02-06,21.99,22.36,20.11,,,,,,,
2012-02-07,21.99,22.36,20.11,,,,,,,
2012-02-08,21.99,22.36,20.11,,,,,,,
2012-02-09,21.99,22.36,20.11,,,,,,,
2012-02-10,21.99,22.36,20.11,,,,,,,
2012-02-11,21.99,22.36,20.57,,,,,,,
2012-02-12,21.99,22.36,20.57,,,,,,,
2012-02-13,21.99,22.36,20.57,,,,,,,
2012-02-14,21.99,22.36,20.57,,,,,,,
2012-02-15,21.99,22.36,20.57,,,,,,,
2012-02-16,21.99,22.36,20.57,,,,,,,
2012-02-17,21.99,22.36,20.57,,,,,,,
2012-02-18,21.99,22.36,20.57,,,,,,,
2012-02-19,21.99,22.36,20.57,,,,,,,
2012-02-20,21.99,22.36,20.57,,,,,,,
2012-02-21,21.99,22.36,20.57,,,,,,,
2012-02-22,21.99,22.36,20.57,,,,,,,
2012-02-23,21.99,22.36,20.57,,,,,,,
2012-02-24,21.99,22.36,20.57,,,,,,,
2012-02-25,21.99,22.36,20.57,,,,,,,
2012-02-26,21.99,22.36,20.57,,,,,,,
2012-02-27,21.99,22.36,20.57,,,,,,,
2012-02-28,21.99,22.36,20.57,,,,,,,
2012-02-29,21.99,22.36,20.57,,,,,,,
2012-03-01,21.99,22.36,20.57,,,,,,,
2012-03-02,21.99,22.36,20.57,,,,,,,
2012-03-03,21.99,22.36,20.57,,,,,,,
2012-03-04,21.99,22.36,20.57,,,,,,,
2012-03-05,21.99,22.36,20.57,,,,,,,
2012-03-06,21.99,22.36,20.57,,,,,,,
2012-03-07,21.99,22.36,20.57,,,,,,,
2012-03-08,21.99,22.36,20.57,,,,,,,
2012-03-09,21.99,22.36,20.57,,,,,,,
2012-03-10,21.99,22.36,20.57,,,,,,,
2012-03-11,21.99,22.36,20.57,,,,,,,
2012-03-12,21.99,22.36,20.57,,,,,,,
2012-03-13,21.99,22.36,20.57,,,,,,,
2012-03-14,21.99,22.36,20.57,,,,,,,
2012-03-15,21.99,22.36,20.57,,,,,,,
2012-03-16,21.99,22.36,20.57,,,,,,,
2012-03-17,21.99,22.36,20.57,,,,,,,
2012-03-18,21.99,22.36,20.57,,,,,,,
2012-03-19,21.99,22.36,20.57,,,,,,,
2012-03-20,21.99,22.36,20.57,,,,,,,
2012-03-21,21.99,22.36,20.57,,,,,,,
2012-03-22,21.99,22.36,20.57,,,,,,,
2012-03-23,21.99,22.36,20.57,,,,,,,
2012-03-24,21.99,22.36,20.57,,,,,,,
2012-03-25,21.99,22.36,20.57,,,,,,,
2012-03-26,21.99,22.36,20.57,,,,,,,
2012-03-27,21.99,22.36,20.57,,,,,,,
2012-03-28,21.99,22.36,20.57,,,,,,,
2012-03-29,21.99,22.36,20.57,,,,,,,
2012-03-30,21.99,22.36,20.57,,,,,,,
2012-03-31,21.99,22.36,20.57,,,,,,,
2012-04-01,21.99,22.36,20.57,,,,,,,
2012-04-02,21.99,22.36,20.57,,,,,,,
2012-04-03,21.99,22.36,20.57,,,,,,,
2012-04-04,21.99,22.36,20.57,,,,,,,
2012-04-05,21.99,22.36,20.57,,,,,,,
2012-04-06,21.99,22.36,20.57,,,,,,,
2012-04-07,21.99,22.36,20.57,,,,,,,
2012-04-08,21.99,22.36,20.57,,,,,,,
2012-04-09,21.99,22.36,20.57,,,,,,,
2012-04-10,21.99,20.78,20.57,,,,,,,
2012-04-11,21.99,20.78,20.57,,,,,,,
2012-04-12,21.99,20.78,20.57,,,,,,,
2012-04-13,21.99,20.78,20.57,,,,,,,
2012-04-14,23.27,20.78,20.57,,,,,,,
2012-04-15,23.27,20.78,20.57,,,,,,,
2012-04-16,23.27,20.78,20.57,,,,,,,
2012-04-17,23.27,20.78,20.57,,,,,,,
2012-04-18,23.27,20.78,20.57,,,,,,,
2012-04-19,23.27,20.78,20.57,,,,,,,
2012-04-20,23.27,23.77,20.57,,,,,,,
2012-04-21,23.27,23.77,20.57,,,,,,,
2012-04-22,23.27,23.77,20.57,,,,,,,
2012-04-23,23.27,23.77,20.57,,,,,,,
2012-04-24,23.27,23.77,20.57,,,,,,,
2012-04-25,23.27,23.77,20.57,,,,,,,
2012-04-26,23.27,23.77,20.57,,,,,,,
2012-04-27,23.27,23.77,20.57,,,,,,,
2012-04-28,23.27,23.77,20.57,,,,,,,
2012-04-29,23.27,23.77,20.57,,,,,,,
2012-04-30,23.27,23.77,20.57,,,,,,,
2012-05-01,23.27,23.77,20.57,,,,,,,
2012-05-02,23.27,23.77,20.57,,,,,,,
2012-05-03,23.27,23.77,20.57,,,,,,,
2012-05-04,23.27,23.77,20.57,,,,,,,
2012-05-05,23.27,23.77,20.57,,,,,,,
2012-05-06,23.27,23.77,20.57,,,,,,,
2012-05-07,23.27,23.77,20.57,,,,,,,
2012-05-08,23.27,23.77,20.57,,,,,,,
2012-05-09,23.27,23.77,20.57,,,,,,,
2012-05-10,23.27,23.77,20.57,,,,,,,
2012-05-11,23.27,23.77,20.57,,,,,,,
2012-05-12,23.27,23.77,20.57,,,,,,,
2012-05-13,23.27,23.77,20.57,,,,,,,
2012-05-14,23.27,23.77,20.57,,,,,,,
2012-05-15,23.27,23.77,20.57,,,,,,,
2012-05-16,23.27,23.77,21.01,,,,,,,
2012-05-17,23.27,23.77,20.73,,,,,,,
2012-05-18,23.27,23.77,20.73,,,,,,,
2012-05-19,23.27,23.77,20.73,,,,,,,
2012-05-20,23.27,23.77,20.73,,,,,,,
2012-05-21,23.27,23.77,20.73,,,,,,,
2012-05-22,23.27,23.77,20.73,,,,,,,
2012-05-23,23.27,23.77,20.73,,,,,,,
2012-05-24,23.27,23.77,21.01,,,,,,,
2012-05-25,23.27,23.77,21.01,,,,,,,
2012-05-26,23.27,23.77,21.01,,,,,,,
2012-05-27,23.27,23.77,21.01,,,,,,,
2012-05-28,23.27,23.77,21.01,,,,,,,
2012-05-29,23.27,23.77,21.01,,,,,,,
2012-05-30,23.27,23.77,21.01,,,,,,,
2012-05-31,23.27,23.77,21.01,,,,,,,
2012-06-01,23.27,23.77,21.01,,,,,,,
2012-06-02,23.27,23.77,21.01,,,,,,,
2012-06-03,23.27,23.77,21.01,,,,,,,
2012-06-04,23.27,23.77,21.01,,,,,,,
2012-06-05,23.27,23.77,21.01,,,,,,,
2012-06-06,23.27,23.77,21.01,,,,,,,
2012-06-07,23.27,23.77,21.01,,,,,,,
2012-06-08,23.27,23.77,21.01,,,,,,,
2012-06-09,23.27,23.77,21.01,,,,,,,
2012-06-10,23.27,23.77,21.01,,,,,,,
2012-06-11,23.27,22.99,21.01,,,,,,,
2012-06-12,23.27,23.17,21.01,,,,,,,
2012-06-13,23.27,23.55,21.01,,,,,,,
2012-06-14,23.27,23.55,21.01,,,,,,,
2012-06-15,23.27,23.75,21.01,,,,,,,
2012-06-16,23.27,23.75,21.01,,,,,,,
2012-06-17,23.27,23.75,21.01,,,,,,,
2012-06-18,23.27,23.75,21.01,,,,,,,
2012-06-19,23.27,23.75,21.01,,,,,,,
2012-06-20,23.27,23.75,21.01,,,,,,,
2012-06-21,23.27,23.75,21.01,,,,,,,
2012-06-22,23.27,23.75,21.01,,,,,,,
2012-06-23,23.27,23.77,21.01,,,,,,,
2012-06-24,23.27,23.77,21.01,,,,,,,
2012-06-25,23.27,23.77,21.01,,,,,,,
2012-06-26,23.27,23.77,21.01,,,,,,,
2012-06-27,23.27,23.77,21.01,,,,,,,
2012-06-28,23.27,23.77,21.01,,,,,,,
2012-06-29,23.27,23.77,21.01,,,,,,,
2012-06-30,23.27,23.77,21.01,,,,,,,
2012-07-01,23.27,23.77,21.01,,,,,,,
2012-07-02,23.27,23.77,21.01,,,,,,,
2012-07-03,23.27,23.77,21.01,,,,,,,
2012-07-04,23.27,23.77,21.01,,,,,,,
2012-07-05,23.27,23.77,21.01,,,,,,,
2012-07-06,23.27,23.77,21.01,,,,,,,
2012-07-07,23.27,23.77,21.01,,,,,,,
2012-07-08,23.27,23.77,21.01,,,,,,,
2012-07-09,23.27,23.77,21.01,,,,,,,
2012-07-10,23.27,23.77,21.01,,,,,,,
2012-07-11,23.27,23.77,21.01,,,,,,,
2012-07-12,23.27,23.77,21.01,,,,,,,
2012-07-13,23.27,23.77,21.01,,,,,,,
2012-07-14,23.27,23.77,21.01,,,,,,,
2012-07-15,23.27,23.77,21.01,,,,,,,
2012-07-16,23.27,23.77,21.01,,,,,,,
2012-07-17,23.27,23.77,21.01,,,,,,,
2012-07-18,23.27,23.77,21.01,,,,,,,
2012-07-19,23.27,23.77,21.01,,,,,,,
2012-07-20,23.27,23.77,21.01,,,,,,,
2012-07-21,23.27,23.77,21.01,,,,,,,
2012-07-22,23.27,23.77,21.01,,,,,,,
2012-07-23,23.27,23.77,21.01,,,,,,,
2012-07-24,23.27,23.77,21.01,,,,,,,
2012-07-25,23.27,23.77,21.01,,,,,,,
2012-07-26,23.27,23.77,21.01,,,,,,,
2012-07-27,21.11,23.77,21.01,,,,,,,
2012-07-28,21.11,23.77,21.01,,,,,,,
2012-07-29,21.11,23.77,21.01,,,,,,,
2012-07-30,21.11,23.77,21.01,,,,,,,
2012-07-31,21.11,23.77,21.01,,,,,,,
2012-08-01,21.11,23.77,21.01,,,,,,,
2012-08-02,21.11,23.77,21.01,,,,,,,
2012-08-03,21.11,23.77,21.01,,,,,,,
2012-08-04,21.11,23.77,21.01,,,,,,,
2012-08-05,21.11,23.77,21.01,,,,,,,
2012-08-06,21.11,23.77,21.01,,,,,,,
2012-08-07,21.11,23.77,21.01,,,,,,,
2012-08-08,21.11,23.77,21.01,,,,,,,
2012-08-09,21.11,23.77,21.01,,,,,,,
2012-08-10,21.11,23.77,21.01,,,,,,,
2012-08-11,21.11,23.77,21.01,,,,,,,
2012-08-12,21.11,23.77,21.01,,,,,,,
2012-08-13,21.11,23.77,21.01,,,,,,,
2012-08-14,21.11,23.77,21.01,,,,,,,
2012-08-15,21.11,23.77,21.01,,,,,,,
2012-08-16,21.11,23.77,21.01,,,,,,,
2012-08-17,21.11,23.77,21.01,,,,,,,
2012-08-18,21.11,23.77,21.01,,,,,,,
2012-08-19,21.11,23.77,21.01,,,,,,,
2012-08-20,21.11,23.77,21.01,,,,,,,
2012-08-21,21.11,23.77,21.01,,,,,,,
2012-08-22,21.11,23.77,21.01,,,,,,,
2012-08-23,21.11,23.77,21.01,,,,,,,
2012-08-24,21.11,23.97,21.01,,,,,,,
2012-08-25,21.11,23.77,21.01,,,,,,,
